	Last Name	First Name	Pseudonym	FORMAT	TITLE	DATE(S)	Date	Day	Start Time	End Time	Location
	Cole	Allison		Curator, Assembly	Applied Illustration: Handmade, Pattern, and Product	SAT 9/14/13 afternoon					Lower Farago Gallery
1											
2											
3											
4											
	Johnson	Christopher		Curator, Assembly	Entropy. Poetry set to music 	Wk of Sept. 17					Lower Farago Gallery
1	Brown	Tony	The Duende Project	Assembled	Entropy. Poetry set to music 	TUES 9/17/13, 12PM	9/17/13	Tuesday	12:00p		Lower Farago Gallery
2	Simes	Jessica	J9	Assembled	Entropy. Poetry set to music 	WED 9/18/13, 12 PM	9/18/13	Wednesday 	12:00p		Lower Farago Gallery
3	Long	Jen	The SwampBirds	Assembled	Entropy. Poetry set to music 	THUR 9/19/13, 12PM	9/19/13	Thursday	12:00p		Lower Farago Gallery
4	Everett	Matthew		Assembled	Entropy. Poetry set to music 	FRI 9/20/13, 12PM	9/20/13	Friday	12:00p		Lower Farago Gallery
5	Marinosci, Jr.	Angelo		Assembled	Entropy. Poetry set to music 	SAT 9/21/13, 12 PM	9/21/13	Saturday	12:00p		Lower Farago Gallery
6	Johnson	Christopher		Assembled	Entropy. Poetry set to music 	SUN 9/22/13, 12PM	9/22/13	Sunday	12:00p		Lower Farago Gallery
6 b	Cabrera	Rudy		Assembled	Entropy. Poetry set to music 	SUN 9/22/13, 12PM	9/22/13	Sunday 	12:00p		Lower Farago Gallery
6 c	Carey	Marlon		Assembled	Entropy. Poetry set to music 	SUN, 9/22/13, 12PM	9/22/13	Sunday	12:00p		Lower Farago Gallery
	Phillips	Patricia		Curator, Assembly	Creative Vernacularism curated by Patti Phillips	wk of Sept 24					Lower Farago Gallery
1											
2											
3											
4											
5											
6											
	Carey	Marlon		Curator, Assembly	Poetry For Thought curated by Marlon Carey	Wk of Oct 1					Lower Farago Gallery
1	Thoma	Megan		Assembled	Poetry For Thought curated by Marlon Carey	TUES 10/1/13, 12 pm	10/1/13	Tuesday	12:00p		Lower Farago Gallery
2	Gray	Charmaine		Assembled	Poetry For Thought curated by Marlon Carey	WED 10/2/13, 12 pm	10/2/13	Wednesday 	12:00p		Lower Farago Gallery
2b	Guerrero	Tanya		Assembled	Poetry For Thought curated by Marlon Carey	WED 10/2/13, 12 pm	10/2/13	Wednesday 	12:00p		Lower Farago Gallery
3	Rossi	Pat		Assembled	Poetry For Thought curated by Marlon Carey	THUR 10/3/13, 12 pm	10/3/13	Thursday	12:00p		Lower Farago Gallery
4	Cabrera	Rudy	Rudy "Rudacious"	Assembled	Poetry For Thought curated by Marlon Carey	FRI 10/4/13, 12 pm 	10/4/13	Friday	12:00p		Lower Farago Gallery
5	Nunes	Lawrence	Brother's Keeper	Assembled	Poetry For Thought curated by Marlon Carey	SAT 10/5/13, 12 pm	10/5/13	Saturday	12:00p		Lower Farago Gallery
6	Bethea	Indigo		Assembled	Poetry For Thought curated by Marlon Carey	SUN 10/6/13, 12 pm	10/6/13	Sunday	12:00p		Lower Farago Gallery
	Rhea van Liew	Kristen	Kristen Minsky	Curator, Assembly	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	wk of Oct 8					Lower Farago Gallery
1	Ciao	Amy		Assembled	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	TUES 10/8/13, 12 pm	10/8/13	Tuesday	12:00p		Lower Farago Gallery
2	Locks	Lulu		Assembled	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	WED 10/9/13, 12 pm	10/9/13	Wednesday 	12:00p		Lower Farago Gallery
3	Deffet	Peter	Baby Oil	Assembled	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	THUR 10/10/13, 12 pm	10/10/13	Thursday	12:00p		Lower Farago Gallery
3b	Watson	Mike		Assembled	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	THUR 10/10/13, 12 pm	10/10/13	Thursday 	12:00p		Lower Farago Gallery
3c	Lucia	Nancy		Assembled	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	THUR 10/10/13, 12 pm	10/10/13	Thursday	12:00p		Lower Farago Gallery
4	Minksy	Kristen		Assembled	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	FRI 10/11/13, 12 pm	10/11/13	Friday	12:00p		Lower Farago Gallery
5	Lovera	Amy		Assembled	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	SAT 10/12/13, 12 pm	10/12/13	Saturday	12:00p		Lower Farago Gallery
6	Poe	Sofia		Assembled	On Madness and Feminine Identity curated by Kristen Rhea van Liew as Kristen Minsky	SUN 10/13/13, 12 pm	10/13/13	Sunday	12:00p		Lower Farago Gallery
	West	Tom		Curator, Assembly	BE GOOD, WORK HARD, DO STUFF curated by Tom West	wk of Oct. 15					Lower Farago Gallery
1	West	Tom		Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West						Lower Farago Gallery
2	Allyn	Dave		Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West						Lower Farago Gallery
3	Fakhouri	Nidal		Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West						Lower Farago Gallery
4	Pennisten	Greg		Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West						Lower Farago Gallery
5	Aric	Curtis		Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West						Lower Farago Gallery
6	Veronneau	Kevin		Assembled	BE GOOD, WORK HARD, DO STUFF curated by Tom West						Lower Farago Gallery
*	Bradford	Kipp		Curator, Assembly	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	 wk of Oct 22nd and all day 27					Lower Farago Gallery
1	Schwartz	Steve		Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	TUE 10/22/13, 12pm	10/22/13	Tuesday	12:00pm		Lower Farago Gallery
2a	Billings	Megan		Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	WED 10/23/13, 12pm	10/23/13	Wednesday 	12:00pm		Lower Farago Gallery
2b	Mills	John		Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	WED 10/22/13, 12pm	10/23/13	Wednesday 	12:00pm		Lower Farago Gallery
3	Badger	Paul		Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	THU 10/24/13, 12pm	10/24/13	Thursday	12:00pm		Lower Farago Gallery
4a	Bull	Chris		Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	FRI 10/25/13, 12pm	10/25/13	Friday	12:00pm		Lower Farago Gallery
4b	Chapman	Brian		Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	FRI 10/25/13, 12pm	10/25/13	Friday	12:00pm		Lower Farago Gallery
5	Snyder	Seth		Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	SAT 10/26/13, 12pm	10/26/13	Saturday	12:00pm		Lower Farago Gallery
6a	Bradford	Kipp		Assembled	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	SUN 10/27/13, 12pm	10/27/13	Sunday	12:00pm		Lower Farago Gallery
6b	Kalman	Lauren		Assembled 	Made in Rhode Island: Fancy Contraption curated by Kipp Bradford	SUN 10/27/13, 12pm	10/27/13	Sunday	12:00pm		Lower Farago Gallery
	Mitchell	Reba		Curator, Assembly		wk of Oct. 29					Lower Farago Gallery
1											
2											
3											
4											
5											
6											
*	Mettling	Walker		Curator, Assembly + Artist Lab	Night of Terrifying Stories III curated by Walker Mettling	THURS 10/31/13, 7-8:30p	10/31/13	Thursday	7:00p	8:30p	Lower Farago Gallery
1	Carrion	Priscilla		Assembled	Night of Terrifying Stories III curated by Walker Mettling		10/31/13	Thursday			Lower Farago Gallery
2	Chrzanowski	Mimi		Assembled	Night of Terrifying Stories III curated by Walker Mettling		10/31/13	Thursday			Lower Farago Gallery
3	Johnson	Cathy G. 		Assembled	Night of Terrifying Stories III curated by Walker Mettling		10/31/13	Thursday			Lower Farago Gallery
4	Nadler	Ben		Assembled	Night of Terrifying Stories III curated by Walker Mettling		10/31/13	Thursday			Lower Farago Gallery
5	Rutsch	Alison		Assembled	Night of Terrifying Stories III curated by Walker Mettling		10/31/13	Thursday			Lower Farago Gallery
6	Kids from the Providence Comics Consortium			Assembled	Night of Terrifying Stories III curated by Walker Mettling						Lower Farago Gallery
											
	Stern	Meredith		Demo + Discourse	Meredith Stern on  Getting Dirt Under Your Nails	SUN 7/21/13, 12-1 pm	7/21/13	Sunday	12:00p	1:00p	Lower Farago Gallery
	Wood	Dan		Demo + Discourse	Dan Wood on printmaking	THU 7/25/13, 6-7 pm	7/25/13	Thursday 	6:00p	7:00p	Lower Farago Gallery
	Barnatt	Patti		Demo + Discourse	Patti Barnatt on ceramics	FRI 7/26/13, 2-3 pm	7/26/13	Friday	2:00p	3:00p	Lower Farago Gallery
	Ruin	Erik		Demo + Discourse	Erik Ruin on printmaking	SUN 7/28/13, 2-3 pm	7/28/13	Sunday	2:00p	3:00p	Lower Farago Gallery
	Iannone	James		Demo + Discourse	James Iannone on mixed media	FRI 8/2/13, 2-3 pm	8/2/13	Friday	2:00p	3:00p	Lower Farago Gallery
	Gualtieri	Julia		Demo + Discourse	Julia Gualtieri on fermentation	THU 8/22/13, 6-7 pm	8/22/13	Thursday 	6:00p	7:00p	Lower Farago Gallery
1A	Alario	Scott		Demo + Discourse	Scott Alario and Marguerite Keyes on {Fill in Media/Theme}	SAT 9/7/13, 3-4 pm	9/7/13	Saturday	3:00p	4:00p	Lower Farago Gallery
1B	Keyes	Marguerite		Demo + Discourse	Scott Alario and Marguerite Keyes on {Fill in Media/Theme}	SAT 9/7/13, 3-4 pm	9/7/13	Saturday	3:00p	4:00p	Lower Farago Gallery
	Hogarth	Emma		Demo +  Discourse	Emma Hogarth on {Fill in Media/Theme}	SUN 9/8/13 8-9 pm; SUN 10/13/13 2-3 pm	10/13/13	Sunday	2:00p	3:00p	Lower Farago Gallery
2A	Getz	Michael		Demo + Discourse	Michael Getz and Michael McGarty on theatre design	TUES 9/10, 11am-12 pm	9/10/13	Tuesday	11:00a	12:00p	Lower Farago Gallery
2B	McGarty	Michael		Demo + Discourse	Michael Getz and Michael McGarty on theatre design	TUES 9/10, 11am-12 pm	9/10/13	Tuesday	11:00a	12:00p	Lower Farago Gallery
	Ros	Sokeo		Demo + Discourse	Sokeo Ros on personal stories with hip hop dance and performance	SUN 9/15/13, 2-3 pm	9/15/13	Sunday	2:00p	3:00p	Lower Farago Gallery
	Costello	Christine		Demo +  Discourse; Office Hours	{Name of Participants} on Experience Mapping 	THU 9/26/13, 6-7 pm	9/26/13	Thursday 	6:00p	7:00p	Lower Farago Gallery
	Drury	Jeff									
	Dziobek	Kara									
	Meisel	Deb									
	Messervy	Lindsey									
	Blaine	Cara		Demo + Discourse	Cara Blaine on {Fill in Media/Theme}	FRI, 9/27/13, 3-4 pm	9/27/13	Friday	3:00p	4:00p 	Lower Farago Gallery
	McKenzie-Veal	Taylor		Demo + Discourse	Taylor McKenzie-Veal on experimentation in design	SAT 9/28/13, 2-3 pm	9/28/13	Saturday	2:00p	3:00p	Lower Farago Gallery
	Zynsky	Toots		Demo + Discourse	Toots Zynsky on glass 	FRI 10/11/13, 10:30-11:30 am	10/11/13	Friday	10:30a	11:30a	Lower Farago Gallery
	Katowicz	Ricky		Demo + Discourse	Ricky Katowicz on  threads and tangents	FRI 10/11/13, 3-4 pm	10/11/13	Friday	3:00p	4:00p	Lower Farago Gallery
	Kovac	Delia		Demo + Discourse	Delia Kovac on Handmade Art Materials	SAT 10/12/13, 2-3 pm	10/12/13	Saturday	2:00p	3:00p	Lower Farago Gallery
	Cozzens	Ian		Demo + Discourse	Ian Cozzens on {Fill in Media/Theme}	SUN 10/20/13, 2-3 pm	10/20/13	Sunday	2:00p	3:00p 	Lower Farago Gallery
	Benjamin	Rick		Demo + Discourse	Rick Benjamin on {Fill in Media/Theme}	THU 10/24/13, 7-8PM	10/24/13	Thursday 	7:00p	8:00p	Lower Farago Gallery
	Henderson	Lara		Demo + Discourse	Lara Henderson on Book Arts	SAT 11/2/13, 2-3 pm	11/2/13	Saturday	2:00p	3:00p	Lower Farago Gallery
											
											
1	Noon	Rebecca	Strange Attractor	Office Hours	Jed Hancock-Brainerd, Rebecca Noon + Jeremy Radtke on theatrical space design 	FRI 7/19/13, 12-2 pm	7/19/13	Friday	12:00p	2:00p	Lower Farago Gallery
